customer_id,age,gender,tenure,monthly_charges,total_charges,num_products,has_internet,has_phone,support_calls,churn
1001,29,Male,12,65.5,786,2,1,1,1,0
1002,45,Female,34,89.0,3026,3,1,1,3,0
1003,23,Male,2,45.0,90,1,0,1,5,1
1004,51,Female,56,110.5,6188,4,1,1,0,0
1005,34,Male,8,55.0,440,1,1,0,4,1
1006,28,Female,15,72.0,1080,2,1,1,2,0
1007,62,Male,60,120.0,7200,4,1,1,0,0
1008,19,Female,3,40.0,120,1,0,1,6,1
1009,40,Male,24,85.0,2040,3,1,1,1,0
1010,33,Female,6,50.0,300,1,1,0,5,1
1011,47,Male,48,105.0,5040,4,1,1,0,0
1012,26,Female,4,48.0,192,1,0,1,7,1
1013,55,Male,52,115.0,5980,4,1,1,1,0
1014,31,Female,10,60.0,600,2,1,1,3,0
1015,22,Male,1,38.0,38,1,0,0,8,1
1016,48,Female,42,98.0,4116,3,1,1,0,0
1017,37,Male,18,78.0,1404,2,1,1,2,0
1018,25,Female,5,47.0,235,1,0,1,6,1
1019,59,Male,58,118.0,6844,4,1,1,0,0
1020,43,Female,30,88.0,2640,3,1,1,1,0
1021,21,Male,2,42.0,84,1,0,1,7,1
1022,52,Female,50,108.0,5400,4,1,1,0,0
1023,36,Male,16,74.0,1184,2,1,1,2,1
1024,29,Female,9,58.0,522,2,1,0,4,1
1025,44,Male,36,92.0,3312,3,1,1,1,0
1026,27,Female,7,52.0,364,1,1,1,5,1
1027,61,Male,60,122.0,7320,4,1,1,0,0
1028,32,Female,14,68.0,952,2,1,1,2,0
1029,24,Male,3,44.0,132,1,0,1,6,1
1030,49,Female,44,100.0,4400,3,1,1,1,0
1031,38,Male,20,80.0,1600,2,1,1,2,0
1032,23,Female,2,41.0,82,1,0,0,8,1
1033,56,Male,54,116.0,6264,4,1,1,0,0
1034,35,Female,17,76.0,1292,2,1,1,3,0
1035,20,Male,1,39.0,39,1,0,1,9,1
1036,50,Female,46,103.0,4738,4,1,1,0,0
1037,42,Male,28,86.0,2408,3,1,1,1,0
1038,26,Female,5,49.0,245,1,0,1,6,1
1039,58,Male,56,117.0,6552,4,1,1,0,0
1040,39,Female,22,82.0,1804,3,1,1,2,0
1041,22,Male,2,43.0,86,1,0,1,7,1
1042,53,Female,51,109.0,5559,4,1,1,0,0
1043,34,Male,13,67.0,871,2,1,1,3,1
1044,28,Female,8,54.0,432,1,1,0,5,1
1045,46,Male,40,96.0,3840,3,1,1,1,0
1046,31,Female,11,62.0,682,2,1,1,3,0
1047,21,Male,1,37.0,37,1,0,0,9,1
1048,57,Female,55,114.0,6270,4,1,1,0,0
1049,41,Male,26,84.0,2184,3,1,1,1,0
1050,25,Female,4,46.0,184,1,0,1,7,1
1051,60,Male,60,121.0,7260,4,1,1,0,0
1052,36,Female,19,79.0,1501,2,1,1,2,0
1053,24,Male,3,45.0,135,1,0,1,6,1
1054,51,Female,49,106.0,5194,4,1,1,0,0
1055,40,Male,25,83.0,2075,3,1,1,1,0
1056,27,Female,6,51.0,306,1,1,1,5,1
1057,62,Male,60,123.0,7380,4,1,1,0,0
1058,33,Female,15,70.0,1050,2,1,1,2,0
1059,23,Male,2,42.0,84,1,0,1,8,1
1060,48,Female,43,99.0,4257,3,1,1,1,0
1061,37,Male,21,81.0,1701,2,1,1,2,0
1062,22,Female,1,38.0,38,1,0,0,9,1
1063,55,Male,53,113.0,5989,4,1,1,0,0
1064,32,Female,12,64.0,768,2,1,1,3,0
1065,26,Male,5,48.0,240,1,0,1,6,1
1066,49,Female,45,101.0,4545,3,1,1,1,0
1067,38,Male,23,83.0,1909,3,1,1,2,0
1068,24,Female,3,44.0,132,1,0,1,7,1
1069,59,Male,57,119.0,6783,4,1,1,0,0
1070,43,Female,32,90.0,2880,3,1,1,1,0
1071,21,Male,2,41.0,82,1,0,1,8,1
1072,54,Female,52,111.0,5772,4,1,1,0,0
1073,35,Male,16,75.0,1200,2,1,1,2,1
1074,29,Female,9,57.0,513,2,1,0,4,1
1075,47,Male,38,94.0,3572,3,1,1,1,0
1076,30,Female,13,66.0,858,2,1,1,3,0
1077,20,Male,1,37.0,37,1,0,0,10,1
1078,56,Female,54,115.0,6210,4,1,1,0,0
1079,41,Male,27,85.0,2295,3,1,1,1,0
1080,25,Female,5,47.0,235,1,0,1,6,1
1081,61,Male,60,122.0,7320,4,1,1,0,0
1082,34,Female,16,73.0,1168,2,1,1,2,0
1083,23,Male,2,43.0,86,1,0,1,7,1
1084,50,Female,47,104.0,4888,4,1,1,0,0
1085,39,Male,24,82.0,1968,3,1,1,2,0
1086,26,Female,5,49.0,245,1,0,1,6,1
1087,58,Male,56,116.0,6496,4,1,1,0,0
1088,44,Female,33,91.0,3003,3,1,1,1,0
1089,22,Male,1,39.0,39,1,0,1,9,1
1090,53,Female,50,107.0,5350,4,1,1,0,0
1091,36,Male,18,77.0,1386,2,1,1,2,1
1092,28,Female,7,53.0,371,1,1,1,5,1
1093,46,Male,39,95.0,3705,3,1,1,1,0
1094,31,Female,12,63.0,756,2,1,1,3,0
1095,21,Male,1,38.0,38,1,0,0,9,1
1096,57,Female,55,114.0,6270,4,1,1,0,0
1097,42,Male,29,87.0,2523,3,1,1,1,0
1098,25,Female,4,46.0,184,1,0,1,7,1
1099,60,Male,59,120.0,7080,4,1,1,0,0
1100,37,Female,20,80.0,1600,2,1,1,2,0
1101,24,Male,3,44.0,132,1,0,1,6,1
1102,51,Female,48,105.0,5040,4,1,1,0,0
1103,40,Male,26,84.0,2184,3,1,1,1,0
1104,27,Female,6,50.0,300,1,1,1,5,1
1105,62,Male,60,124.0,7440,4,1,1,0,0
1106,33,Female,14,69.0,966,2,1,1,2,0
1107,23,Male,2,42.0,84,1,0,1,8,1
1108,48,Female,44,100.0,4400,3,1,1,1,0
1109,38,Male,22,81.0,1782,2,1,1,2,0
1110,22,Female,1,38.0,38,1,0,0,9,1
1111,55,Male,52,112.0,5824,4,1,1,0,0
1112,32,Female,13,65.0,845,2,1,1,3,0
1113,26,Male,5,48.0,240,1,0,1,6,1
1114,49,Female,46,102.0,4692,3,1,1,1,0
1115,39,Male,23,82.0,1886,3,1,1,2,0
1116,24,Female,3,45.0,135,1,0,1,7,1
1117,59,Male,58,118.0,6844,4,1,1,0,0
1118,43,Female,31,89.0,2759,3,1,1,1,0
1119,21,Male,1,40.0,40,1,0,1,8,1
1120,54,Female,53,112.0,5936,4,1,1,0,0
1121,35,Male,17,76.0,1292,2,1,1,2,1
1122,29,Female,8,55.0,440,2,1,0,4,1
1123,47,Male,41,97.0,3977,3,1,1,1,0
1124,30,Female,11,61.0,671,2,1,1,3,0
1125,20,Male,1,36.0,36,1,0,0,10,1
1126,56,Female,55,115.0,6325,4,1,1,0,0
1127,41,Male,28,86.0,2408,3,1,1,1,0
1128,25,Female,4,47.0,188,1,0,1,6,1
1129,61,Male,60,121.0,7260,4,1,1,0,0
1130,34,Female,15,71.0,1065,2,1,1,2,0
1131,23,Male,2,43.0,86,1,0,1,7,1
1132,50,Female,47,103.0,4841,4,1,1,0,0
1133,40,Male,25,83.0,2075,3,1,1,1,0
1134,26,Female,5,49.0,245,1,0,1,6,1
1135,58,Male,57,117.0,6669,4,1,1,0,0
1136,44,Female,34,92.0,3128,3,1,1,1,0
1137,22,Male,1,39.0,39,1,0,1,9,1
1138,53,Female,51,108.0,5508,4,1,1,0,0
1139,36,Male,19,78.0,1482,2,1,1,2,1
1140,28,Female,7,52.0,364,1,1,1,5,1
1141,46,Male,40,96.0,3840,3,1,1,1,0
1142,31,Female,12,62.0,744,2,1,1,3,0
1143,21,Male,1,37.0,37,1,0,0,9,1
1144,57,Female,56,116.0,6496,4,1,1,0,0
1145,42,Male,30,88.0,2640,3,1,1,1,0
1146,25,Female,4,46.0,184,1,0,1,7,1
1147,60,Male,60,120.0,7200,4,1,1,0,0
1148,37,Female,21,81.0,1701,2,1,1,2,0
1149,24,Male,3,44.0,132,1,0,1,6,1
1150,51,Female,49,106.0,5194,4,1,1,0,0
1151,40,Male,27,85.0,2295,3,1,1,1,0
1152,27,Female,6,51.0,306,1,1,1,5,1
1153,62,Male,60,123.0,7380,4,1,1,0,0
1154,33,Female,14,68.0,952,2,1,1,2,0
1155,23,Male,2,42.0,84,1,0,1,8,1
1156,48,Female,45,101.0,4545,3,1,1,1,0
1157,38,Male,22,80.0,1760,2,1,1,2,0
1158,22,Female,1,38.0,38,1,0,0,9,1
1159,55,Male,53,113.0,5989,4,1,1,0,0
1160,32,Female,13,64.0,832,2,1,1,3,0
1161,26,Male,5,48.0,240,1,0,1,6,1
1162,49,Female,46,102.0,4692,4,1,1,0,0
1163,39,Male,24,82.0,1968,3,1,1,2,0
1164,24,Female,3,45.0,135,1,0,1,7,1
1165,59,Male,58,119.0,6902,4,1,1,0,0
1166,43,Female,32,90.0,2880,3,1,1,1,0
1167,21,Male,1,40.0,40,1,0,1,8,1
1168,54,Female,52,111.0,5772,4,1,1,0,0
1169,35,Male,16,75.0,1200,2,1,1,2,1
1170,29,Female,9,56.0,504,2,1,0,4,1
1171,47,Male,39,95.0,3705,3,1,1,1,0
1172,30,Female,12,62.0,744,2,1,1,3,0
1173,20,Male,1,36.0,36,1,0,0,10,1
1174,56,Female,54,114.0,6156,4,1,1,0,0
1175,41,Male,28,86.0,2408,3,1,1,1,0
